chemical_name	DTXSID	final_reporting_group	final_biological_class	biological_interpretation_statement	final_evidence_strength	reproducibility_evidence_level	Phase6F4_overall_robustness	mechanistic_priority_scope	mechanistic_priority_rank_within_scope	mechanistic_priority_score_within_scope	mechanistic_priority_class	evidence_confidence_rank	evidence_confidence_score	evidence_confidence_class	CMAP_provisional_priority_score	direct_LINCS_hazard_priority_score	integrated_mechanistic_priority_score	evidence_tier	dominant_robust_mechanism_class	overall_primary_interpretation	direct_LINCS_quantitative_evaluated	CMAP_global_residual_mechanism	neural_quantitative_data_available	replicate_concordant_evaluable	bootstrap_replicated_absolute_effect	direct_injury_activation	direct_injury_exceeds_late_program	direct_early_program_suppression	direct_late_maturation_depletion	direct_late_maturation_support	direct_negative_developmental_shift	direct_positive_developmental_shift	mechanistic_rank_robustness_class	confidence_rank_robustness_class	rank_range_mechanistic	rank_range_confidence	stable_top5_all_mechanistic_scenarios	stable_top10_all_confidence_scenarios	classification_claim_scope	priority_scope_warning	final_interpretive_guardrail
valproic acid	DTXSID6023733	direct_late_or_positive_shift_without_benefit_inference	positive_developmental_shift_without_coherent_late_support	A positive developmental-state shift is detected without coherent support across the late synaptic, metabolic and glial maturation components.	moderate_multilayer_evidence	directionally_retained	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	11	50.12713228538159	moderate_confidence	10.0	0.0	4.0	Tier_C_program_overlap_dependent	no_fixed_panel_mechanism	relative_late_program_preservation_only	True	False	False	True	False	False	False	False	False	False	False	True	weight_sensitive	high_rank_stability	7.0	2	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
trichostatin A	DTXSID6037063	direct_late_or_positive_shift_without_benefit_inference	late_program_support_with_positive_developmental_shift	Late-program support and a positive developmental shift are detected without an absolute injury signal. This remains a perturbational signature and is not interpreted as therapeutic maturation.	moderate_primary_evidence_reproducibility_not_evaluable	not_evaluable_no_replicate_concordant_profiles	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	13	45.36803548486269	moderate_confidence	10.0	0.0	4.0	Tier_C_program_overlap_dependent	no_fixed_panel_mechanism	late_program_support_without_supported_injury	True	False	True	False	False	False	False	False	False	True	False	True	weight_sensitive	moderate_rank_stability	7.0	7	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
rifabutin	DTXSID0033960	direct_no_supported_absolute_effect	null_relative_deviation_without_absolute_effect	The chemical differs from its matched random-gene null but does not show a supported absolute biological effect in the primary quantitative analysis.	limited_direct_evidence	mixed_descriptive_stability	moderate_overall_robustness	integrated_CMAP_plus_direct_LINCS	13	1.6	low_priority	15	34.76998942823873	low_confidence	4.0	0.0	1.6	Tier_C_program_overlap_dependent	no_fixed_panel_mechanism	no_coherent_empirically_supported_pattern	True	False	False	True	False	False	False	False	False	False	False	False	moderate_rank_stability	moderate_rank_stability	3.0	5	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
fulvestrant	DTXSID4022369	direct_late_or_positive_shift_without_benefit_inference	positive_developmental_shift_without_coherent_late_support	A positive developmental-state shift is detected without coherent support across the late synaptic, metabolic and glial maturation components.	moderate_multilayer_evidence	bootstrap_replicated	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	14	0.8	low_priority	9	53.60332276157206	moderate_confidence	2.0	0.0	0.8	Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism	developmental_shift_without_coherent_late_support	True	False	False	True	True	False	False	False	False	False	False	True	weight_sensitive	layer_sensitive	6.0	9	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
dosulepin	DTXSID2022961	direct_other_developmental_effect	absolute_developmental_effect_without_fixed_mechanistic_class	At least one absolute developmental-axis effect is supported, but it does not map to a more specific predefined mechanistic class.	moderate_multilayer_evidence	directionally_retained	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	14	0.8	low_priority	10	50.26998942823872	moderate_confidence	2.0	0.0	0.8	Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism	relative_late_program_preservation_only	True	False	False	True	False	False	False	False	False	False	False	False	weight_sensitive	moderate_rank_stability	6.0	7	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
hexetidine	DTXSID1045297	CMAP_only_global_residual_mechanism	CMAP_only_global_residual_injury_or_mixed_mechanism	CMAP leave-program-out analysis supports a global residual injury/stress or mixed early-plus-injury mechanism, but no direct quantitative LINCS profile was available.	provisional_strong_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	1	77.0	very_high_priority	16	26.0	low_confidence	77.0			Tier_A_global_residual_mechanism	robust_injury_stress		False	True	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		11	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
suloctidil		CMAP_only_global_residual_mechanism	CMAP_only_global_residual_injury_or_mixed_mechanism	CMAP leave-program-out analysis supports a global residual injury/stress or mixed early-plus-injury mechanism, but no direct quantitative LINCS profile was available.	provisional_strong_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	1	77.0	very_high_priority	16	26.0	low_confidence	77.0			Tier_A_global_residual_mechanism	robust_injury_stress		False	True	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		15	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
methotrexate	DTXSID4020822	CMAP_only_global_residual_mechanism	CMAP_only_global_residual_early_program_suppression	CMAP leave-program-out analysis supports global residual early-program suppression, but no direct quantitative LINCS profile was available.	provisional_strong_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	3	54.0	high_priority	18	24.5	low_confidence	54.0			Tier_A_global_residual_mechanism	robust_early_program_suppression		False	True	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		9	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
monobenzone	DTXSID2020717	CMAP_only_provisional_or_unresolved	CMAP_only_relative_residual_profile	CMAP evidence supports a relative residual profile without a globally supported fixed-panel mechanism; direct quantitative validation was unavailable.	provisional_moderate_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	4	14.0	low_priority	19	18.5	very_low_confidence	14.0			Tier_B_relative_residual_profile	robust_relative_profile_only		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		8	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
H-7		CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	5	10.0	low_priority	20	16.333333333333332	very_low_confidence	10.0			Tier_C_program_overlap_dependent	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
GW-8510		CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	5	10.0	low_priority	21	16.0	very_low_confidence	10.0			Tier_C_program_overlap_dependent	program_overlap_dependent		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	moderate_rank_stability		4	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
0175029-0000		CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	7	6.0	low_priority	22	14.333333333333332	very_low_confidence	6.0			Tier_C_program_overlap_dependent	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	moderate_rank_stability		6	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
alsterpaullone	DTXSID50407444	CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	7	6.0	low_priority	22	14.333333333333332	very_low_confidence	6.0			Tier_C_program_overlap_dependent	program_overlap_dependent		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
scriptaid	DTXSID70274458	CMAP_only_provisional_or_unresolved	CMAP_only_no_fixed_panel_mechanism	CMAP concordance was detected without a supported residual fixed-panel mechanism, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	9	4.0	low_priority	26	11.0	very_low_confidence	4.0			Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
ellipticine	DTXSID30199855	CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	10	2.0	low_priority	24	14.0	very_low_confidence	2.0			Tier_C_program_overlap_dependent	program_overlap_dependent		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
fenoprofen	DTXSID9023045	CMAP_only_provisional_or_unresolved	CMAP_only_program_overlap_dependent_or_unresolved	The CMAP developmental-state signal is dependent on program overlap or remains mechanistically unresolved, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	10	2.0	low_priority	24	14.0	very_low_confidence	2.0			Tier_C_program_overlap_dependent	program_overlap_dependent		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
HC toxin		CMAP_only_provisional_or_unresolved	CMAP_only_no_fixed_panel_mechanism	CMAP concordance was detected without a supported residual fixed-panel mechanism, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	10	2.0	low_priority	27	10.0	very_low_confidence	2.0			Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		8	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
SC-58125	DTXSID00167304	CMAP_only_provisional_or_unresolved	CMAP_only_no_fixed_panel_mechanism	CMAP concordance was detected without a supported residual fixed-panel mechanism, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	sensitivity_dependent	CMAP_only_provisional	10	2.0	low_priority	27	10.0	very_low_confidence	2.0			Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	layer_sensitive		8	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
natamycin	DTXSID6021163	CMAP_only_provisional_or_unresolved	CMAP_only_no_fixed_panel_mechanism	CMAP concordance was detected without a supported residual fixed-panel mechanism, and direct quantitative LINCS validation was unavailable.	provisional_limited_CMAP_only	not_applicable_no_direct_LINCS	moderate_overall_robustness	CMAP_only_provisional	10	2.0	low_priority	27	10.0	very_low_confidence	2.0			Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism		False	False	False	False	False	False	False	False	False	False	False	False	not_applicable_CMAP_only_scope	high_rank_stability		2	False	False	CMAP_only_provisional_classification	CMAP-only provisional priority is not directly comparable with the integrated priority ranking.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
