chemical_name	DTXSID	evidence_tier	mechanistic_priority_scope	mechanistic_priority_rank_within_scope	mechanistic_priority_score_within_scope	mechanistic_priority_class	CMAP_provisional_priority_score	direct_LINCS_hazard_priority_score	integrated_mechanistic_priority_score	evidence_confidence_rank	evidence_confidence_score	evidence_confidence_class	overall_primary_interpretation	dominant_robust_mechanism_class	CMAP_global_residual_mechanism	direct_injury_activation	direct_injury_exceeds_late_program	direct_early_program_suppression	direct_late_maturation_depletion	direct_negative_developmental_shift	primary_absolute_direction_supported_axes	primary_secondary_replicated_absolute_axis_count	primary_absolute_direction_retained_count	primary_absolute_bootstrap_replicated_count	neural_absolute_supported_axis_count	replicate_concordant_sensitivity_class	quantitative_missingness_guardrail	beneficial_interpretation_guardrail	CMAP_priority_global_residual_points	CMAP_priority_within_parent_points	CMAP_priority_injury_mixed_fraction_points	CMAP_priority_early_suppression_fraction_points	CMAP_priority_global_parent_fraction_points	CMAP_priority_parent_replication_points	direct_priority_injury_activation_points	direct_priority_injury_exceeds_late_points	direct_priority_early_suppression_points	direct_priority_late_depletion_points	direct_priority_negative_shift_points	confidence_CMAP_component	confidence_direct_component	confidence_reproducibility_component	confidence_neural_component
H-7		Tier_C_program_overlap_dependent	CMAP_only_provisional	5	10.0	low_priority	10.0			20	16.333333333333332	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0						16.333333333333332	0.0	0.0	0.0
GW-8510		Tier_C_program_overlap_dependent	CMAP_only_provisional	5	10.0	low_priority	10.0			21	16.0	very_low_confidence		program_overlap_dependent	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0						16.0	0.0	0.0	0.0
0175029-0000		Tier_C_program_overlap_dependent	CMAP_only_provisional	7	6.0	low_priority	6.0			22	14.333333333333332	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	6.0						14.333333333333332	0.0	0.0	0.0
alsterpaullone	DTXSID50407444	Tier_C_program_overlap_dependent	CMAP_only_provisional	7	6.0	low_priority	6.0			22	14.333333333333332	very_low_confidence		program_overlap_dependent	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	6.0						14.333333333333332	0.0	0.0	0.0
ellipticine	DTXSID30199855	Tier_C_program_overlap_dependent	CMAP_only_provisional	10	2.0	low_priority	2.0			24	14.0	very_low_confidence		program_overlap_dependent	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0						14.0	0.0	0.0	0.0
fenoprofen	DTXSID9023045	Tier_C_program_overlap_dependent	CMAP_only_provisional	10	2.0	low_priority	2.0			24	14.0	very_low_confidence		program_overlap_dependent	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0						14.0	0.0	0.0	0.0
scriptaid	DTXSID70274458	Tier_D_no_fixed_panel_mechanism	CMAP_only_provisional	9	4.0	low_priority	4.0			26	11.0	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	4.0						11.0	0.0	0.0	0.0
HC toxin		Tier_D_no_fixed_panel_mechanism	CMAP_only_provisional	10	2.0	low_priority	2.0			27	10.0	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0						10.0	0.0	0.0	0.0
SC-58125	DTXSID00167304	Tier_D_no_fixed_panel_mechanism	CMAP_only_provisional	10	2.0	low_priority	2.0			27	10.0	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0						10.0	0.0	0.0	0.0
natamycin	DTXSID6021163	Tier_D_no_fixed_panel_mechanism	CMAP_only_provisional	10	2.0	low_priority	2.0			27	10.0	very_low_confidence		no_fixed_panel_mechanism	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0						10.0	0.0	0.0	0.0
