lock_component	prospective_rank	tf_symbol	source_row_number	source_table	selection_rule	source_fitted_trajectory_amplitude_sd	source_primary_trajectory_supported	source_high_confidence_trajectory_supported	source_trajectory_class	source_developmental_program_direction	source_supported_trajectory_rank	module_id	display_name	expected_early_context	expected_late_context	primary_direction	endpoint_id	endpoint	definition	inferential_unit	primary_or_secondary	gate_id	layer	criterion	required
module_directions												neurogenesis_migration_layering	Neurogenesis–migration–layering	Intermediate progenitors and migrating neurons	Intermediate developmental states	intermediate_peak									
module_directions												axon_guidance_neurite_outgrowth	Axon guidance–neurite outgrowth	Migrating and immature neurons	Intermediate-to-late neuronal states	intermediate_to_late									
module_directions												synaptic_assembly_receptor_trafficking	Synaptic assembly–receptor trafficking	Low in germinal progenitors	Increased in cortical-plate neurons	late_high									
module_directions												astrocyte_maturation_metabolic_support	Astrocyte maturation–metabolic support	Glioblast and early astroglial lineages	Increased in later fetal stages	late_glial_high									
module_directions												oligodendrocyte_myelination	Oligodendrocyte–myelination	OPC/early oligodendroglial lineages	Increased in later stages	late_glial_high									
module_directions												activity_dependent_plasticity	Activity-dependent plasticity	Low in progenitor states	Increased in differentiated neurons	late_high									
module_directions												synaptic_membrane_structural_candidates	Synaptic-membrane structural candidates	Low in germinal compartments	Cortical plate and differentiated excitatory neurons	late_high									
primary_endpoints																	E01	maturation_shift_score	Mean maturation-high programme activity minus mean fetal-high programme activity.	donor-level pseudobulk	primary				
primary_endpoints																	E02	radial_glia_vs_postmitotic_neuron_module_contrast	Prespecified module-score contrast between radial-glia/progenitor states and postmitotic excitatory-neuron states.	donor × age × area × cell-state pseudobulk	primary				
primary_endpoints																	E03	VZ_SVZ_vs_cortical_plate_module_contrast	Prespecified module-score contrast between germinal compartments and cortical plate.	donor × age × area × compartment pseudobulk	primary				
primary_endpoints																	E04	early_vs_late_gestational_module_contrast	Age-associated module shift tested with donor-aware mixed-effects models.	donor × age × area pseudobulk	primary				
primary_endpoints																	E05	TF_enhancer_regulon_support	Candidate-TF motif accessibility, enhancer–target support, regulon activity and enrichment for the locked DTHI programmes.	donor-level multiome pseudobulk	primary				
primary_endpoints																	E06	virtual_perturbation_reciprocity	Reciprocal knockout and overexpression effects on maturation shift and trajectory displacement.	candidate TF × dataset × perturbation direction	primary				
validation_gates																						G01	independent_spatial_replication	At least 6 of 9 modules reproduce the prespecified direction.	True
validation_gates																						G02	independent_spatial_replication	Progenitor–radial-glia and synaptic-assembly modules both pass.	True
validation_gates																						G03	independent_spatial_replication	Donor-level BH-adjusted P < 0.05 and direction retained in at least 80% of leave-one-out reconstructions.	True
validation_gates																						G04	independent_spatial_replication	Observed effects exceed the 95th percentile of module-size- and expression-matched random gene-set effects.	True
validation_gates																						G05	multiome_regulatory_validation	At least 3 frozen TF candidates receive replicated enhancer-driven multiome support.	True
validation_gates																						G06	virtual_perturbation	At least 2 TFs show reciprocal knockout/overexpression effects and agreement across two perturbation methods.	True
validation_gates																						G07	external_experimental_support	At least one final TF or its regulon has concordant public CRISPR/Perturb-seq support.	True
